subj_code,seed,word,color,trial_type,orientation,trial_num,response,is_correct,rt
stroop_01,1,green,orange,incongruent,upside_down,1,NA,0,2000
stroop_01,1,yellow,yellow,normal,upside_down,2,y,1,784
stroop_01,1,green,green,normal,upright,3,g,1,666
stroop_01,1,yellow,red,incongruent,upside_down,4,b,0,263
stroop_01,1,green,blue,incongruent,upright,5,y,0,358
stroop_01,1,blue,red,incongruent,upside_down,6,b,1,726
stroop_01,1,orange,red,incongruent,upright,7,o,1,587
stroop_01,1,green,green,normal,upright,8,g,1,582
stroop_01,1,orange,red,incongruent,upright,9,o,1,585
stroop_01,1,green,blue,incongruent,upright,10,g,1,539
stroop_01,1,red,red,normal,upside_down,11,r,1,881
stroop_01,1,yellow,red,incongruent,upside_down,12,b,0,275
stroop_01,1,green,green,normal,upright,13,g,1,562
stroop_01,1,green,green,normal,upside_down,14,r,0,1207
stroop_01,1,orange,red,incongruent,upside_down,15,o,1,1704
stroop_01,1,green,green,normal,upright,16,g,1,918
stroop_01,1,red,red,normal,upside_down,17,r,1,660
stroop_01,1,red,red,normal,upright,18,b,0,625
stroop_01,1,red,red,normal,upside_down,19,b,0,426
stroop_01,1,blue,red,incongruent,upright,20,b,1,587
